id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
138,,VAYmm;0,7913,,FALSE,TRUE
139,,VAYblg;0,7913,,FALSE,TRUE
140,,VACAZmd;0,1185,,FALSE,TRUE
141,,VAYma;0,7913,,FALSE,TRUE
142,,VAZmg;0,1185,,FALSE,TRUE
143,,VAYbr;0,7913,,FALSE,TRUE
144,,VAYpp;0,7913,,FALSE,TRUE
145,,VACAZmy;0,7157,,FALSE,TRUE
146,,NCTRdp;9,5300,,FALSE,TRUE
147,,NCDqd;2,8100,,FALSE,TRUE
148,,MED1;0,1968,,FALSE,TRUE
149,,MED1;0,5020,,FALSE,TRUE
150,,MED1;0,7959,,FALSE,TRUE
151,,MED2(h);0,1968,,FALSE,TRUE
152,,MEDSca;0,5683,,FALSE,TRUE
153,,MEDOf;0,668,,FALSE,TRUE
154,,OHStg;0,3957,,FALSE,TRUE
157,,OHSl;0,7817,,TRUE,FALSE
158,,OHSl;0,7817,,FALSE,TRUE
159,,OHSl;0,3931,,FALSE,TRUE
160,,OHSl;0,3957,,TRUE,FALSE
161,,ILDm;0,7414,,TRUE,FALSE
162,,ILDm;0,7414,,FALSE,TRUE
163,,ILMvm;0,4164,,FALSE,TRUE
164,,ILMvm;0,7140,,FALSE,TRUE
165,,ILMvm;0,2394,,FALSE,TRUE
166,,IDTRwsm;0,4763,,FALSE,TRUE
167,,IDKl;0,4763,,FALSE,TRUE
168,,WATR;0,4763,,FALSE,TRUE
169,,IDKii;0,4763,,FALSE,TRUE
170,,MTpCAh;0,4763,,FALSE,TRUE
171,,IDQpu2b;0,4763,,FALSE,TRUE
172,,WACAls;0,4763,,FALSE,TRUE
173,,IDO;0,4763,,FALSE,TRUE
174,,WApCA;0,4763,,FALSE,TRUE
175,,IDXWnmh;0,4763,,FALSE,TRUE
176,,WAOG;0,4763,,FALSE,TRUE
177,,MTTwr;0,4763,,FALSE,TRUE
178,,MTKbf;0,4763,,FALSE,TRUE
179,,MTKp;0,4763,,FALSE,TRUE
180,,MTpCAnb;0,4763,,FALSE,TRUE
181,,IDY2n;0,4763,,FALSE,TRUE
182,,IDYXnmh;0,4763,,FALSE,TRUE
183,,IDPZu;0,4763,,FALSE,TRUE
184,,WAJKv;0,4763,,FALSE,TRUE
185,,IDDO;0,4763,,FALSE,TRUE
186,,MTKn;0,4763,,FALSE,TRUE
187,,IDZXmhc;0,4763,,FALSE,TRUE
188,,IDQTib;0,4763,,FALSE,TRUE
189,,IDQpc;0,4763,,FALSE,TRUE
190,,IDQpu1b;0,4763,,FALSE,TRUE
191,,WAQg1;0,4763,,FALSE,TRUE
192,,IDTmd;0,4763,,FALSE,TRUE
193,,IDZYm;0,4763,,FALSE,TRUE
