CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
2,65095a891d4d1da934f93ce95a39521d923d725d131913b901d904d9826f005c,https://ngmdb.usgs.gov/Prodesc/proddesc_21807.htm,Download,21807,20325,,,,,
2,56614a69094907490fcd1b8d0acd2f4d20e521e725eb26eb21e731f025b00160,https://ngmdb.usgs.gov/Prodesc/proddesc_21807.htm,Download,21807,20324,,,,,
2,6b174c9955d51bc713f904e94c39263b263b027d027c017c04fc046c065c0078,https://ngmdb.usgs.gov/Prodesc/proddesc_21807.htm,Download,21807,20326,,,,,
2,60e07ce52e2534e552e57aa550354c794435e335773d4db55da726cf064d0720,https://ngmdb.usgs.gov/Prodesc/proddesc_10209.htm,Download,10209,74457,,,,,
2,b3448cc6af4b970b8d9b8dcb8a6bb8bb81fb85bb93e7a26682e6830e951e9ce0,https://ngmdb.usgs.gov/Prodesc/proddesc_238.htm,Download,238,24804,,,,,
2,f2090dc52547330f2b1f0bc7163f19f730ff107f135f226708cf070f250fcca0,https://ngmdb.usgs.gov/Prodesc/proddesc_238.htm,Download,238,24805,yes,yes,Result Download,Result Download,
2,36641667406d50ef4ce36ceb26e937775347cb4ba71b054b05c986c781cf5861,https://ngmdb.usgs.gov/Prodesc/proddesc_9132.htm,Download,9132,1358,yes,yes,Result Download,Result Download,
2,605b6d3d473d478567a513874b97a097989fd19f51dd1b33194f25ff01f90999,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,20810,,,,,
2,367d04ad038d131d04ed8ded09cd495da03d1b6e020c17b248be3ea4131b61cf,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,21398,,,,,
2,782d602534dd0c7d2e6d0fad0a2d47dd47dd47fd224d9b289a3e408c19e49038,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,20813,,,,,
2,341339c958cd1d86490b0f634f030f061f1e8e1ccf6a0d664d190c651cc61338,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,21400,,,,,
2,54f704fd1a6d1ced18ff28ed27cc23ed20fe18f638f618f644fc03c7129fe0f0,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,20805,,,,,
2,039a019c1198079c4f984398139a03654f840db48698032d093c84b840744198,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,20806,,,,,
2,6a4f4a4c7ac57ec75e876f872152256335a211e74f9749a713c712de09db4de1,https://ngmdb.usgs.gov/Prodesc/proddesc_4206.htm,Download,4206,20804,yes,yes,Result Download,Result Download,
2,71400af546b5463502b14839057125b1693d4d750c391c514cf19309a50af210,https://ngmdb.usgs.gov/Prodesc/proddesc_14088.htm,Download,14088,21672,,,,,
2,52b017b145a10dad47a955b912a14ae7cd25d135423549b59b27bb2b8a2b0e51,https://ngmdb.usgs.gov/Prodesc/proddesc_9938.htm,Download,9938,16928,yes,yes,Result Download,Result Download,
2,7389243f0c77003d012f266f047d09f705bf05fa21d34fda46fc06d20bb279fc,https://ngmdb.usgs.gov/Prodesc/proddesc_16507.htm,Download,16507,13074,,,,,
2,7389243f0cb7003f012f244f047f09f7059705fa23d34fda46fc06d20f72596c,https://ngmdb.usgs.gov/Prodesc/proddesc_16507.htm,Download,16507,13075,,,,,
2,708926f70cf7007f006f246f046709f705b7077a23f3435a437c26d201b251ec,https://ngmdb.usgs.gov/Prodesc/proddesc_16507.htm,Download,16507,13076,,,,,
2,5869307706730b66017706b30a7328c721d615e519e711eb13e197210721a874,https://ngmdb.usgs.gov/Prodesc/proddesc_16507.htm,Download,16507,13069,,,,,
2,4db1493542b344db5c756e357676783b68b35272d341509055256f9325a18065,https://ngmdb.usgs.gov/Prodesc/proddesc_9455.htm,Download,9455,1367,yes,yes,Result Download,Result Download,
2,d690a166316e324e3207322770c7710673075386538642166e206c99282d682c,https://ngmdb.usgs.gov/Prodesc/proddesc_9548.htm,Download,9548,16748,yes,yes,Result Download,Result Download,
2,31d473dd5fd16fcd5f8957ad55ad35ab0ec70d2c333e6ac86f890bb36bb3c0d9,https://ngmdb.usgs.gov/Prodesc/proddesc_12251.htm,Download,12251,1330,yes,yes,Result Download,Result Download,
2,4e956e956a95329d36991a553e572e5916531a634e644f6f925952554675ce40,https://ngmdb.usgs.gov/Prodesc/proddesc_13063.htm,Download,13063,2548,,,,,
2,46d902d905b92df90c39447955b9593d583d5a9d322525252525252583679344,https://ngmdb.usgs.gov/Prodesc/proddesc_8879.htm,Download,8879,74436,,,,,
