slug,name,url,ref_title,authors,ref_year,ref_source,isbn_doi,license,keywords,scale_denominator,language,description
japan_toyama,"Toyama, Toyama, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Toyama",Toru SAKAMOTO,1963,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_022.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-022;TOYAMA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Toyama"
japan_toyoma,"Toyoma, Miyagi, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Toyoma District,"Fuminori TAKIZAWA, Kotaro KAMADA, Akira SAKAI and Kazuya KUBO",1990,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_079.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-079;MIYAGI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Toyoma District
japan_toyooka,"Toyooka, Oita, Japan",https://www.gsj.jp/Map/EN/geology4-14.html,Geology of the Toyooka District,"Hideo HOSHIZUMI, Yuichi MORISHITA",1993,https://www.gsj.jp/Map/EN/docs/5man_doc/14/14_065.htm,,Geological Survey of Japan,"14 [FUKUOKA]-065;OITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Toyooka District
japan_tsubata,"Tsubata, Ishikawa, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,Geology of the Tsubata District,Yasuo SUMI,1978,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_020.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-020;ISHIKAWA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsubata District
japan_tsuchibuchi,"Tsuchibuchi, Iwate, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,"Explanatory Text of the Geological Map of Japan, Tsuchibuchi",Eijiro OWA,1956,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_034.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-034;IWATE;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Tsuchibuchi"
japan_tsukechi,"Tsukechi, Gifu, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Tsukechi",Kiyoo KAWADA,1961,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_084.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-084;GIFU;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Tsukechi"
japan_tsumago,"Tsumago, Nagano, Gifu, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Tsumago","Naotoshi YAMADA, Masaro MURAYAMA",1958,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_085.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-085;NAGANO, GIFU;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Tsumago"
japan_tsuno,"Tsuno, Miyazaki, Japan",https://www.gsj.jp/Map/EN/geology4-15.html,"Explanatory Text of the Geological Map of Japan, Tsuno",Yoshihito KINO,1956,https://www.gsj.jp/Map/EN/docs/5man_doc/15/15_061.htm,,Geological Survey of Japan,"15 [KAGOSHIMA]-061;MIYAZAKI;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Tsuno"
japan_tsuruga,"Tsuruga, Fukui, Shiga, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,Geology of the Tsuruga District,"Chikao KURIMOTO, Kazuki NAITO, Yuichi SUGIYAMA and Satoshi NAKAE",1999,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_079.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-079;FUKUI, SHIGA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsuruga District
japan_tsurumisaki,"Tsurumisaki, Oita, Japan",https://www.gsj.jp/Map/EN/geology4-13.html,Geology of the Tsurumisaki District,"Kimio OKUMURA, Yoji TERAOKA",1988,https://www.gsj.jp/Map/EN/docs/5man_doc/13/13_087.htm,,Geological Survey of Japan,"13 [KOCHI]-087;OITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsurumisaki District
